"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,6317254601
1;95,6317254601
2;95,6396157797
3;95,6711770585
4;95,6948480175
5;95,6948480175
6;95,6356706199
7;95,6317254601
8;95,6356706199
9;95,6317254601
10;95,6396157797
11;95,6317254601
12;95,6356706199
13;95,7698060545
14;95,7619157349
15;95,7816415341
16;95,757970575
17;95,7776963742
18;95,7619157349
19;95,7816415341
20;95,8013673333
21;95,9197221285
22;95,7303544561
23;95,7658608947
24;95,7776963742
25;95,7658608947
26;95,7816415341
27;95,7658608947
28;95,8171479726
29;95,8368737719
30;95,8999963293
31;95,9236672884
32;95,907886649
33;95,9276124482
34;96,057802723
35;96,0933091616
36;96,057802723
37;96,1761575183
38;96,1801026781
39;96,1682671986
40;96,184047838
41;96,2392800758
42;96,2432252356
43;96,2392800758
44;96,2905671537
45;96,2945123136
46;96,3615800309
47;96,3536897112
48;96,3655251907
49;96,3852509899
50;96,432592908
51;96,4207574285
52;96,4168122687
53;96,432592908
54;96,4799348261
55;96,507550945
56;96,4878251458
57;96,4996606254
58;96,4957154655
59;96,507550945
60;96,5470025435
61;96,5391122238
62;96,5627831828
63;96,5943444616
64;96,5943444616
65;96,5982896214
66;96,5864541419
67;96,6061799411
68;96,5982896214
69;96,6416863797
70;96,6535218592
71;96,657467019
72;96,6653573387
73;96,6535218592
74;96,657467019
75;96,6614121789
76;96,6732476584
77;96,6850831379
78;96,7205895765
79;96,7482056954
80;96,7245347364
81;96,7403153757
82;96,7166444167
83;96,7482056954
84;96,7245347364
85;96,7758218143
86;96,7916024537
87;96,8073830931
88;96,7994927734
89;96,8034379332
90;96,8073830931
91;96,7916024537
92;96,8073830931
93;96,8034379332
94;96,8389443718
95;96,8468346915
96;96,8547250112
97;96,858670171
98;96,8507798513
99;96,8941766096
100;96,9139024088
101;96,9217927285
102;96,9178475686
103;96,9217927285
104;96,9217927285
105;96,9139024088
106;96,9217927285
107;96,9178475686
108;96,9928056056
109;96,9770249663
110;96,9928056056
111;96,984915286
112;96,984915286
113;96,9967507655
114;96,9809701261
115;96,9967507655
116;96,984915286
117;97,0283120442
118;97,0322572041
119;97,0440926836
120;97,0401475237
121;97,0401475237
122;97,0401475237
123;97,0401475237
124;97,0322572041
125;97,0440926836
126;97,0795991222
127;97,0874894419
128;97,0953797615
