"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,1288156002
5;96,2274445962
10;96,0696382025
15;96,1643220388
20;96,1406510797
25;96,4049767891
30;96,5430573836
35;96,5154412647
40;96,4917703057
45;96,6535218592
50;96,63379606
55;96,7166444167
60;96,8034379332
65;96,7718766545
70;96,8507798513
75;96,909957249
80;96,9060120891
85;96,9809701261
90;96,9770249663
95;96,9967507655
100;97,0362023639
105;97,0322572041
110;97,0362023639
115;97,083544282
120;97,083544282
125;97,083544282
130;97,0874894419
135;97,1151055607
140;97,1466668395
145;97,1466668395
150;97,1861184379
155;97,1979539174
160;97,2137345568
165;97,0874894419
170;97,284747434
175;97,308418393
180;97,3320893521
185;97,3202538725
190;97,3241990324
195;97,3320893521
200;97,3202538725
205;97,3281441922
210;97,2808022741
215;97,2729119544
220;97,2531861552
225;97,1940087576
230;97,1861184379
235;97,2058442371
240;97,2018990773
245;97,2176797166
250;97,1979539174
255;97,1821732781
260;97,1427216796
265;97,13483136
270;97,13483136
275;97,13483136
280;97,1387765198
285;97,1387765198
290;97,1387765198
295;97,2058442371
300;97,1269410403
305;94,6454354995
310;96,4128671088
315;96,2392800758
320;96,2274445962
325;96,2234994364
330;96,2392800758
335;96,2195542766
340;96,2156091167
345;96,2156091167
350;96,2234994364
355;96,2274445962
360;96,2234994364
365;96,2156091167
370;96,2787316742
375;96,2432252356
380;96,2353349159
385;96,2313897561
390;96,2313897561
395;96,2195542766
400;96,2274445962
405;96,2392800758
410;96,2353349159
415;96,2156091167
420;96,2274445962
425;96,2274445962
430;96,2274445962
435;96,2392800758
440;96,2274445962
445;96,2747865143
450;96,2353349159
455;96,2313897561
460;96,2156091167
465;96,2234994364
470;96,2392800758
475;96,2866219939
480;96,3102929529
485;96,3102929529
490;96,282676834
495;96,2866219939
500;96,2866219939
505;96,2945123136
510;96,2945123136
515;96,2747865143
520;96,2866219939
525;96,2905671537
530;96,2787316742
535;96,2905671537
540;96,2984574734
545;96,2905671537
550;96,2866219939
555;96,2945123136
560;96,2905671537
565;96,282676834
570;96,2945123136
575;96,2787316742
580;96,2866219939
585;96,2905671537
590;96,282676834
595;96,2747865143
600;96,282676834
